,%spendhighimprshare,KS,cost,cost_on_high_imprshare,portfolio_id,ports
110,0.985219944262148,KS5040,800.1123858899998,788.2866802299999,609.0,609.0
71,0.988715825785044,KS3689,792.2599988,783.3199989499999,183.0,183.0
817,1.0,KS6173,780.9499998,780.9499998,3595.0,3595.0
2835,1.0,KS6226,780.34999466,780.34999466,8865.0,8865.0
6350,1.0,KS7166,780.0699992300001,780.0699992300001,14750.0,14750.0
881,0.9910397489471485,KS7232,777.8799867199999,770.9099867499999,10008.0,10008.0
6148,1.0,KS7166,770.77999723,770.77999723,14447.0,14447.0
2276,1.0,KS7232,766.7800064,766.7800064,15693.0,15693.0
179,1.0,KS1538,763.7000066400001,763.7000066400001,810.0,810.0
580,1.0,KS7232,751.99999809,751.99999809,6765.0,6765.0
485,0.9629224754249976,KS1532,777.5599995,748.72999951,2512.0,2512.0
742,1.0,KS7232,745.4874897,745.4874897,8792.0,8792.0
613,1.0,KS7166,745.3200001800001,745.3200001800001,1700.0,1700.0
1565,1.0,KS3441,743.6599979300001,743.6599979300001,6820.0,6820.0
204,1.0,KS3385,742.3099979000002,742.3099979000002,721.0,721.0
355,1.0,KS3506,741.54293044,741.54293044,836.0,836.0
548,1.0,KS3441,740.2324877199999,740.2324877199999,4197.0,4197.0
305,0.9691033001920368,KS5123,761.5699989400001,738.0399993000001,1272.0,1272.0
122,1.0,KS7232,727.060009,727.060009,798.0,798.0
675,1.0,KS7166,722.0200061700001,722.0200061700001,1861.0,1861.0
812,1.0,KS1520,714.1000070499999,714.1000070499999,11434.0,11434.0
943,1.0,KS6173,710.97999891,710.97999891,3839.0,3839.0
1276,1.0,KS1520,710.7900030799999,710.7900030799999,12402.0,12402.0
36,1.0,KS3441,699.7399978999999,699.7399978999999,450.0,450.0
109,1.0,KS6173,696.73999689,696.73999689,697.0,697.0
1116,1.0,KS7166,696.3100023,696.3100023,2798.0,2798.0
1897,0.9991738531918052,KS7166,689.9499996200001,689.37999963,4244.0,4244.0
12,0.9799057234572454,KS1134,702.1900047000001,688.0800045600001,309.0,309.0
95,1.0,KS3689,685.10200728,685.10200728,261.0,261.0
2828,1.0,KS7232,669.0000028699999,669.0000028699999,16642.0,16642.0
651,1.0,KS3441,665.91000123,665.91000123,4666.0,4666.0
7,1.0,KS5021,661.06999252,661.06999252,251.0,251.0
528,1.0,KS6173,657.3900012799999,657.3900012799999,2427.0,2427.0
254,0.9702439948294485,KS1154,675.8299914500002,655.7199907300002,4904.0,4904.0
903,1.0,KS7232,648.92399503,648.92399503,10142.0,10142.0
3798,1.0,KS7166,641.2800016399999,641.2800016399999,9442.0,9442.0
2750,0.9678492577569784,KS6226,661.25998925,639.99998978,8706.0,8706.0
253,1.0,KS3700,636.91999818,636.91999818,845.0,845.0
46,1.0,KS3613,636.18000693,636.18000693,98.0,98.0
292,0.992728477165319,KS1532,633.9800032,629.3700031300001,1948.0,1948.0
247,1.0,KS5123,627.4500003900001,627.4500003900001,1064.0,1064.0
59,0.9832634820551465,KS6224,635.4044547999999,624.7699967399999,735.0,735.0
2439,1.0,KS7166,624.08999779,624.08999779,6880.0,6880.0
2181,0.9989719041151133,KS6226,622.51000068,621.87000071,7407.0,7407.0
400,1.0,KS3441,614.93000033,614.93000033,3485.0,3485.0
442,1.0,KS6173,614.34000237,614.34000237,2171.0,2171.0
22,1.0,KS5035,610.46000386,610.46000386,311.0,311.0
1303,1.0,KS6173,610.3499965599998,610.3499965599998,4308.0,4308.0
2082,1.0,KS7232,609.5099945,609.5099945,15354.0,15354.0
135,1.0,KS6173,608.2800013800002,608.2800013800002,787.0,787.0
210,1.0,KS1538,605.3799945999999,605.3799945999999,869.0,869.0
951,1.0,KS6173,600.05000499,600.05000499,3852.0,3852.0
524,1.0,KS7232,597.11799827,597.11799827,5923.0,5923.0
5023,1.0,KS7166,596.4300005,596.4300005,12622.0,12622.0
83,0.9745047716467473,KS3384,596.1899991400002,580.9899989700003,127.0,127.0
5,1.0,KS3452,580.48999929,580.48999929,23.0,23.0
1181,1.0,KS7166,577.94999764,577.94999764,2939.0,2939.0
651,1.0,KS6173,577.58999552,577.58999552,2996.0,2996.0
1411,1.0,KS6173,576.2099981300001,576.2099981300001,4463.0,4463.0
0,0.952350162029652,KS3196,603.1500028999999,574.41000299,3.0,3.0
5143,1.0,KS7166,572.7800025900001,572.7800025900001,12893.0,12893.0
4463,1.0,KS7166,572.72999997,572.72999997,10833.0,10833.0
1217,1.0,KS6173,572.29001046,572.29001046,4198.0,4198.0
520,1.0,KS5035,571.15000151,571.15000151,4948.0,4948.0
815,1.0,KS1520,570.82000475,570.82000475,11441.0,11441.0
872,1.0,KS5035,569.5100045299998,569.5100045299998,7105.0,7105.0
707,1.0,KS6173,569.4200031999999,569.4200031999999,3186.0,3186.0
835,1.0,KS7166,565.7700063599999,565.7700063599999,2358.0,2358.0
217,1.0,KS1154,558.8100061499999,558.8100061499999,4823.0,4823.0
880,1.0,KS7232,557.5300049800001,557.5300049800001,10007.0,10007.0
2213,1.0,KS7232,555.3300056400001,555.3300056400001,15589.0,15589.0
1821,0.9531884132137599,KS7232,581.0527195799999,553.8527197699999,14623.0,14623.0
881,1.0,KS1520,553.43999905,553.43999905,11566.0,11566.0
364,1.0,KS6173,553.3599986999999,553.3599986999999,1696.0,1696.0
969,1.0,KS6226,552.2900049699999,552.2900049699999,3257.0,3257.0
6476,1.0,KS7166,545.67999386,545.67999386,14894.0,14894.0
2020,1.0,KS7232,543.7300086,543.7300086,15222.0,15222.0
6854,1.0,KS7166,539.19000005,539.19000005,15318.0,15318.0
2634,1.0,KS7166,537.7199945299999,537.7199945299999,7238.0,7238.0
1507,1.0,KS1520,537.54999877,537.54999877,12742.0,12742.0
2595,1.0,KS7166,535.66000474,535.66000474,7158.0,7158.0
243,1.0,KS1154,530.71000672,530.71000672,4881.0,4881.0
1278,1.0,KS3441,529.62999973,529.62999973,6258.0,6258.0
1257,1.0,KS6226,524.7799963000001,524.7799963000001,4291.0,4291.0
324,1.0,KS6176,522.5299980499999,522.5299980499999,9221.0,9221.0
710,0.9817607459884516,KS5035,531.8199989899999,522.11999894,6669.0,6669.0
98,1.0,KS6173,521.6900015499999,521.6900015499999,596.0,596.0
4784,0.9992998560672128,KS7166,514.18000377,513.82000376,11872.0,11872.0
2289,1.0,KS7232,513.4099996699999,513.4099996699999,15717.0,15717.0
1441,1.0,KS3441,508.40000433999995,508.40000433999995,6539.0,6539.0
1635,1.0,KS7232,503.5799942100001,503.5799942100001,14082.0,14082.0
1211,1.0,KS1520,500.5600017400001,500.5600017400001,12277.0,12277.0
1703,1.0,KS7232,498.41551591,498.41551591,14300.0,14300.0
389,0.9760191665489588,KS3441,510.40760759999995,498.16760776999996,3438.0,3438.0
1820,1.0,KS7232,497.96825505000004,497.96825505000004,14622.0,14622.0
5132,0.9989915491684376,KS7166,495.80999325999994,495.30999325999994,12876.0,12876.0
2229,1.0,KS7166,494.4299858799999,494.4299858799999,6465.0,6465.0
373,1.0,KS3441,493.69024372,493.69024372,3345.0,3345.0
2006,0.9898596415190803,KS6226,498.0100022600001,492.96000231000005,6830.0,6830.0
1527,1.0,KS7232,491.31000517999996,491.31000517999996,13723.0,13723.0
1559,1.0,KS3441,484.63000212,484.63000212,6809.0,6809.0
1814,1.0,KS7232,483.93000221,483.93000221,14608.0,14608.0
240,1.0,KS3385,482.69075763000006,482.69075763000006,811.0,811.0
59,1.0,KS3441,482.20999717000007,482.20999717000007,532.0,532.0
